FileName,Acropore_branched,Acropore_digitised,Acropore_tabular,Algae,Dead_coral,Fish,Millepore,No_acropore_encrusting,No_acropore_massive,No_acropore_sub_massive,Rock,Rubble,Sand
odm_orthophoto_317353_7665600.png,0.85,0.44,0.55,0.85,0.58,0.79,0.0,0.0,0.44,0.78,0.85,0.73,0.85
odm_orthophoto_317353_7665604.png,0.68,0.0,0.0,0.68,0.2,0.61,0.0,0.0,0.0,0.0,0.32,0.68,0.68
odm_orthophoto_317353_7665606.png,0.84,0.24,0.0,0.86,0.19,0.84,0.0,0.0,0.0,0.24,0.71,0.86,0.86
odm_orthophoto_317353_7665609.png,0.53,0.0,0.0,0.6,0.19,0.14,0.0,0.0,0.0,0.0,0.38,0.6,0.6
odm_orthophoto_317353_7665614.png,0.99,0.19,0.65,0.99,0.92,0.97,0.0,0.0,0.28,0.98,0.99,0.99,0.99
odm_orthophoto_317355_7665578.png,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.96,1.0,0.96,0.0
odm_orthophoto_317355_7665581.png,1.0,0.0,0.0,1.0,1.0,0.9,0.0,0.0,0.0,0.97,1.0,0.34,0.77
odm_orthophoto_317355_7665590.png,0.0,0.0,0.0,0.7,0.55,0.0,0.0,0.0,0.47,0.19,0.32,0.7,0.7
odm_orthophoto_317355_7665591.png,0.56,0.23,0.23,0.89,0.89,0.82,0.0,0.0,0.21,0.83,0.89,0.85,0.89
odm_orthophoto_317355_7665598.png,0.61,0.37,0.0,0.76,0.17,0.37,0.0,0.0,0.17,0.35,0.71,0.61,0.76
odm_orthophoto_317355_7665600.png,0.5,0.0,0.0,0.75,0.15,0.0,0.0,0.0,0.28,0.28,0.7,0.75,0.75
odm_orthophoto_317355_7665603.png,0.96,0.42,0.0,0.96,0.42,0.81,0.0,0.0,0.0,0.42,0.89,0.0,0.42
odm_orthophoto_317355_7665606.png,0.93,0.0,0.0,0.93,0.19,0.78,0.0,0.0,0.0,0.0,0.72,0.45,0.45
odm_orthophoto_317355_7665611.png,0.54,0.0,0.0,0.54,0.44,0.32,0.0,0.0,0.0,0.18,0.54,0.54,0.54
odm_orthophoto_317355_7665614.png,0.79,0.2,0.0,0.79,0.58,0.79,0.0,0.0,0.0,0.67,0.79,0.79,0.79
odm_orthophoto_317356_7665576.png,0.34,0.34,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.99,1.0,1.0,0.83
odm_orthophoto_317356_7665583.png,1.0,0.56,0.0,1.0,0.98,0.57,0.0,0.0,0.0,0.56,0.99,1.0,0.99
odm_orthophoto_317356_7665588.png,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.81,0.81
odm_orthophoto_317356_7665591.png,0.8,0.57,0.3,0.91,0.86,0.89,0.0,0.0,0.61,0.89,0.91,0.68,0.83
